2021-03-23 12:08:40,428 [      0]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE STARTED ------------------------------------------------------ 
2021-03-23 12:08:40,506 [     78]   INFO -        #com.intellij.idea.Main - IDE: IntelliJ IDEA (build #IC-201.6668.121, 08 Apr 2020 10:09) 
2021-03-23 12:08:40,522 [     94]   INFO -        #com.intellij.idea.Main - OS: Linux (5.4.0-67-generic, amd64) 
2021-03-23 12:08:40,522 [     94]   INFO -        #com.intellij.idea.Main - JRE: 11.0.6+8-b765.25 (JetBrains s.r.o) 
2021-03-23 12:08:40,522 [     94]   INFO -        #com.intellij.idea.Main - JVM: 11.0.6+8-b765.25 (OpenJDK 64-Bit Server VM) 
2021-03-23 12:08:40,523 [     95]   INFO -        #com.intellij.idea.Main - JVM Args: -Didea.classpath.index.enabled=false -Didea.config.path=/media/bernardo/Windows/Wiximo/Test/psi_demo/build/idea-sandbox/config -Didea.is.internal=true -Didea.platform.prefix=Idea -Didea.plugins.path=/media/bernardo/Windows/Wiximo/Test/psi_demo/build/idea-sandbox/plugins -Didea.required.plugins.id=org.intellij.sdk.psi.psi_demo -Didea.system.path=/media/bernardo/Windows/Wiximo/Test/psi_demo/build/idea-sandbox/system -Dsun.awt.disablegrab=true -agentlib:jdwp=transport=dt_socket,server=n,suspend=y,address=41319 -Xms256m -Xmx512m -Dfile.encoding=UTF-8 -Duser.country=MX -Duser.language=es -Duser.variant -ea 
2021-03-23 12:08:40,523 [     95]   INFO -        #com.intellij.idea.Main - Locale=es_MX JNU=UTF-8 file.encoding=UTF-8 
2021-03-23 12:08:40,572 [    144]   INFO -        #com.intellij.idea.Main - JNA library (64-bit) loaded in 88 ms 
2021-03-23 12:08:41,082 [    654]   INFO - ntellij.idea.ApplicationLoader - CPU cores: 8; ForkJoinPool.commonPool: java.util.concurrent.ForkJoinPool@f311864[Running, parallelism = 7, size = 0, active = 0, running = 0, steals = 0, tasks = 0, submissions = 0]; factory: com.intellij.concurrency.IdeaForkJoinWorkerThreadFactory@4ff671be 
2021-03-23 12:08:41,128 [    700]   INFO - llij.ide.plugins.PluginManager - Plugin org.intellij.groovy misses optional descriptor duplicates-groovy.xml 
2021-03-23 12:08:41,129 [    701]   INFO - llij.ide.plugins.PluginManager - Plugin org.intellij.groovy misses optional descriptor duplicates-detection-groovy.xml 
2021-03-23 12:08:41,247 [    819]   INFO - ntellij.idea.ApplicationLoader - WM detected: GNOME Shell 
2021-03-23 12:08:41,293 [    865]   INFO - llij.ide.plugins.PluginManager - Plugin com.intellij.java misses optional descriptor profiler-java.xml 
2021-03-23 12:08:41,358 [    930]   INFO - llij.ide.plugins.PluginManager - Loaded bundled plugins: IDEA CORE (201.6668.121), com.intellij.platform.images (201.6668.121), JetBrains Repository Search (201.6668.121), Subversion (201.6668.121), XPathView + XSLT (201.6668.121), XSLT Debugger (201.6668.121), Smali Support (201.6668.121), Configuration Script (201.6668.121), Copyright (201.6668.121), Java (201.6668.121), Bytecode Viewer (201.6668.121), Git (201.6668.121), ChangeReminder (201.6668.121), Next File Prediction (201.6668.121), JUnit (201.6668.121), Task Management (201.6668.121), GitHub (201.6668.121), IntelliLang (201.6668.121), TestNG (201.6668.121), Code Coverage for Java (201.6668.121), Markdown (201.6668.121), Java IDE Customization (201.6668.121), Java Stream Debugger (201.6668.121), Eclipse Interoperability (201.6668.121), Java Bytecode Decompiler (201.6668.121), Gradle (201.6668.121), macOS Light Theme (201.6668.121), Windows 10 Light Theme (201.6668.121), Properties (201.6668.121), Ant (201.6668.121), Groovy (201.6668.121), Maven (201.6668.121), Gradle-Java (201.6668.121), Gradle-Maven (201.6668.121), Java Internationalization (201.6668.121), Kotlin (1.3.71-release-IJ2020.1-1), UI Designer (201.6668.121), Plugin DevKit (201.6668.121), JavaFX (201.6668.121), Resource Bundle Editor (201.6668.121), Machine Learning Code Completion (201.6668.121), Mercurial (201.6668.121), EditorConfig (201.6668.121), Terminal (201.6668.121), Android (10.3.6 RC 1), Shell Script (201.6668.121), TextMate bundles (201.6668.121), YAML (201.6668.121), Grazie (201.6668.121), Settings Repository (201.6668.121) 
2021-03-23 12:08:41,358 [    930]   INFO - llij.ide.plugins.PluginManager - Loaded custom plugins: Plugin display name here (1.0-SNAPSHOT) 
2021-03-23 12:08:41,873 [   1445]   INFO - ellij.util.io.PagedFileStorage - lower=100; upper=492; buffer=10; max=492 
2021-03-23 12:08:41,951 [   1523]   INFO - tellij.util.io.FileChannelUtil - un-interruptible FileChannel-s will be used for indexes 
2021-03-23 12:08:41,962 [   1534]   INFO - fs.newvfs.persistent.FSRecords - Marking VFS as corrupted: '/media/bernardo/Windows/Wiximo/Test/psi_demo/build/idea-sandbox/system/caches/names.dat' does not exist 
2021-03-23 12:08:42,017 [   1589]   WARN - j.internal.DebugAttachDetector - Unable to start DebugAttachDetector, please add `--add-exports java.base/jdk.internal.vm=ALL-UNNAMED` to VM options 
2021-03-23 12:08:42,062 [   1634]   INFO - .history.utils.LocalHistoryLog - local history version mismatch (was: 0, expected: 6), rebuilding... 
2021-03-23 12:08:42,062 [   1634]   INFO - .history.utils.LocalHistoryLog - FS has been rebuild, rebuilding local history... 
2021-03-23 12:08:42,064 [   1636]   INFO - rains.ide.BuiltInServerManager - built-in server started, port 63343 
2021-03-23 12:08:42,160 [   1732]   INFO - com.intellij.ide.ui.UISettings - Loaded: fontSize=13, fontScale=1.0; restored: fontSize=13, fontScale=1.0 
2021-03-23 12:08:42,319 [   1891]   INFO - til.net.ssl.CertificateManager - Default SSL context initialized 
2021-03-23 12:08:42,396 [   1968]   INFO - stubs.SerializationManagerImpl - Name storage is repaired 
2021-03-23 12:08:42,430 [   2002]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'FilenameIndex'; old = -1, new = 3 
2021-03-23 12:08:42,463 [   2035]   INFO - pl.local.NativeFileWatcherImpl - Starting file watcher: /home/bernardo/.gradle/caches/modules-2/files-2.1/com.jetbrains.intellij.idea/ideaIC/2020.1/cbeeb1f1aebd4c9ea8fb5ab990c5904a676fc41a/ideaIC-2020.1/bin/linux/fsnotifier64 
2021-03-23 12:08:42,493 [   2065]   INFO - pl.local.NativeFileWatcherImpl - Native file watcher is operational. 
2021-03-23 12:08:42,509 [   2081]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'FrameworkDetectionIndex'; old = -1, new = 0 
2021-03-23 12:08:42,540 [   2112]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'TodoIndex'; old = -1, new = 4107 
2021-03-23 12:08:42,589 [   2161]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'IdIndex'; old = -1, new = 4112 
2021-03-23 12:08:42,653 [   2225]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'filetypes'; old = -1, new = 2 
2021-03-23 12:08:42,678 [   2250]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'Stubs'; old = -1, new = 46 
2021-03-23 12:08:42,855 [   2427]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'Trigram.Index'; old = -1, new = 4099 
2021-03-23 12:08:42,878 [   2450]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'fileIncludes'; old = -1, new = 6 
2021-03-23 12:08:42,973 [   2545]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'DomFileIndex'; old = -1, new = -1189920956 
2021-03-23 12:08:42,993 [   2565]   INFO - il.indexing.FileBasedIndexImpl - index version changed for 'RelaxSymbolIndex'; old = -1, new = 0 
